trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
214,False,"{'a': 0.5, 'e': 0.14572995401294303}",25,8,15.78354079461078,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
215,False,"{'a': 0.5, 'e': 0.144424268823542}",30,13,24.614835932130838,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.5, 'e': 0.14313028207887982}",25,7,34.46569752299908,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.14184788896532274}",30,23,14.085827647837018,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.5, 'e': 0.14057698560832743}",30,1,37.700708783800074,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 0}",1
219,False,"{'a': 0.5, 'e': 0.139317469064027}",20,2,2.9690892592111497,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
220,False,"{'a': 0.5, 'e': 0.13806923731089285}",20,0,11.566171163326878,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
221,False,"{'a': 0.5, 'e': 0.1368321892414704}",20,0,3.8729119554889557,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
222,False,"{'a': 0.5, 'e': 0.13560622465418973}",30,16,2.6045337790443055,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.13439124424524895}",20,11,15.46322460624532,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.5, 'e': 0.1331871496005706}",25,8,31.046914178815396,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.5, 'e': 0.13199384318783022}",25,15,6.583146180642499,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
226,False,"{'a': 0.5, 'e': 0.13081122834855588}",25,12,23.589979242363604,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.5, 'e': 0.129639209290299}",30,10,38.1642010170617,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.5, 'e': 0.12847769107887502}",20,16,7.397155302915195,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.5, 'e': 0.12732657963067387}",20,9,-1.4996736608977286,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
230,False,"{'a': 0.5, 'e': 0.12618578170503877}",30,18,18.6548058106219,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.5, 'e': 0.12505520489671404}",20,10,17.742594945698798,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.5, 'e': 0.12393475762836008}",20,10,14.247522054622006,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.5, 'e': 0.12282434914313546}",20,8,-20.646728168174036,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
234,False,"{'a': 0.5, 'e': 0.12172388949734589}",30,13,28.988740294252462,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.5, 'e': 0.12063328955315832}",25,8,29.169406551588235,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.5, 'e': 0.11955246097138099}",25,12,12.301133081781979,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
237,False,"{'a': 0.5, 'e': 0.11848131620430775}",30,13,27.895133973405628,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.5, 'e': 0.11741976848862698}",20,11,16.38765631969004,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.5, 'e': 0.11636773183839319}",20,16,9.085314404370106,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.5, 'e': 0.11532512103806256}",30,8,27.654261601896714,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
241,False,"{'a': 0.5, 'e': 0.11429185163559014}",20,13,1.532591252024261,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
242,False,"{'a': 0.5, 'e': 0.11326783993558948}",30,8,22.723238048523303,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.11225300299255297}",20,16,7.489375901746429,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.5, 'e': 0.11124725860413336}",25,7,19.68926925562934,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
245,False,"{'a': 0.5, 'e': 0.11025052530448527}",20,6,28.693070123576554,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.5, 'e': 0.10926272235766643}",35,8,11.304514519253889,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 0}",1
