trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
143,False,"{'a': 0.5, 'e': 0.2760978353971936}",30,8,-57.72768492215709,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 1}",1
144,False,"{'a': 0.5, 'e': 0.2736241033704081}",20,13,16.306586958726793,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.2711725350455999}",20,0,-19.25590769387898,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.2687429318443944}",35,24,20.166108027519027,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.2663350969676039}",25,2,27.163521047321105,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.2639488353792869}",20,0,1.9623336520809613,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.26158395379094995}",25,13,-0.09527921610578582,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.25924026064589156}",20,11,-8.170125872153509,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.25691756610368544}",30,20,5.752805389421214,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.2546156820248038}",30,14,-10.283295468581898,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.25233442195537764}",30,12,20.37745347279854,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.25007360111209415}",25,14,5.879649216111641,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.2478330363672288}",25,5,27.893024317094028,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
